Partner,t_value,p_value
CACNA1E,3.52751,0.000466102
DTL,3.44541,0.000628029
DDAH1,-3.43458,0.000652936
ZFC3H1,2.96767,0.00317351
IFT43,-3.59622,0.000361559
GABARAPL1,-3.23018,0.00133512
ZCCHC11,2.75044,0.00621067
NCAPD3,2.77874,0.00570359
C15orf48,-3.91905,0.00010388
CUX2,3.64237,0.000304159
VEGFC,-3.13084,0.00186573
MTG2,-2.65879,0.00814394
VHL,3.33635,0.000924926
SMARCC2,3.40418,0.000727872
SMARCD1,2.65428,0.0082518
SMARCD2,2.69616,0.00729836
PGRMC1,-2.73333,0.00653662
GPX8,-5.91637,6.87E-09
TIFA,3.55072,0.000427979
PLXNA1,-3.80144,0.000165315
MYLK,-3.04821,0.00244861
PMCH,2.64985,0.00835895
RAB12,-3.91864,0.000104052
FOSL2,-3.3613,0.000847305
AMER1,3.80356,0.000163951
KCNA3,5.45069,8.60E-08
ECT2,-3.40294,0.000731089
ECHS1,-2.77109,0.00583687
NCL,2.80845,0.00521193
EWSR1,2.77228,0.00581595
EXT1,-4.56184,6.68E-06
EYA1,2.95426,0.00331176
PELI2,2.73007,0.00660038
C2orf42,3.20676,0.00144581
ZNFX1,-6.71023,6.36E-11
NFYA,2.90553,0.00386162
NFYB,4.60313,5.53E-06
XRN1,4.59171,5.83E-06
GNG5,-2.68476,0.00754756
NGF,-2.79262,0.00546897
MIR600HG,2.82871,0.00489914
CARF,3.90918,0.000108059
TOM1L2,-2.7566,0.00609699
MRPL43,-3.07758,0.00222458
NDFIP2,-3.80568,0.000162602
ACER1,2.9707,0.00314307
PMEPA1,-4.49897,8.87E-06
HAND2,3.0317,0.00258353
MRPS25,2.92496,0.00363311
NFE2,3.10667,0.00202139
WDR82,3.08698,0.002157
BOK,-3.88929,0.000116971
TWSG1,-5.01719,7.78E-07
PNPLA3,-3.81322,0.000157882
DOCK1,-3.11936,0.00193828
DOCK2,3.72593,0.000221403
POLR3D,4.64258,4.62E-06
SATB1,2.5875,0.010005
EML5,3.44047,0.000639282
MXD4,2.79342,0.00545565
CDR2L,-3.26072,0.00120251
SMARCA1,-4.0215,6.86E-05
SMARCA2,4.02573,6.75E-05
SMARCC1,3.12119,0.00192654
EPB41L4A-AS1,3.69389,0.000250247
USP8,3.71023,0.000235119
ZNF84,3.53347,0.000456021
ZNF692,3.01909,0.00269102
C2CD5,3.01189,0.00275432
ZZEF1,2.87385,0.00426238
ERICH6,3.12868,0.00187919
TMTC4,3.01001,0.00277104
MYO1B,-3.34139,0.000908735
TNKS,5.45427,8.44E-08
LAD1,-2.94205,0.00344237
RFWD3,2.82474,0.00495909
L1CAM,-3.1132,0.00197824
KTN1,-4.16946,3.72E-05
MZB1,4.44826,1.11E-05
CRIM1,-6.03276,3.56E-09
TAS2R8,2.74714,0.00627233
ABCG1,2.68279,0.00759151
SSH2,3.39304,0.000757285
PTPN3,-3.06537,0.00231531
PTPN7,4.84226,1.81E-06
MPP5,-4.39814,1.39E-05
ZBTB4,-3.7981,0.000167482
MARVELD2,-3.01368,0.00273844
KDM3B,3.50391,0.000508121
PPM1M,2.59412,0.00981732
RNASE6,4.28886,2.23E-05
BIRC6,3.85696,0.00013295
FAM46C,4.60255,5.55E-06
PTS,-4.38315,1.48E-05
EIF1B,2.67599,0.00774454
HOTAIRM1,-4.00297,7.40E-05
ENDOD1,-2.93899,0.00347575
TMEM139,-3.73519,0.000213668
IL2RB,3.02843,0.002611
IL2RG,4.64741,4.52E-06
DOLK,-3.03047,0.00259384
LDHAL6A,2.84827,0.0046133
MST1R,-2.64653,0.00844017
MSX2,-2.62327,0.00902823
ARHGAP35,-3.08536,0.00216849
PKM,-3.41058,0.000711474
SHISA6,3.11321,0.00197812
HOXB7,-3.67468,0.000269206
RTF1,4.91326,1.29E-06
DNAJB4,-3.19635,0.00149769
ADAM30,3.76686,0.000189093
DPP9,-2.9459,0.00340061
RHBDF1,-4.87717,1.53E-06
MANEA,3.41318,0.000704889
SENP1,4.45236,1.09E-05
TSPAN15,-3.05434,0.00240025
PIGN,4.02918,6.65E-05
RASD2,-3.45291,0.000611292
KDM4C,3.39727,0.000745985
TRIM35,4.67053,4.06E-06
RPAIN,2.66616,0.00797051
CLASP1,3.14124,0.00180224
WDR7,4.28711,2.25E-05
VPS39,3.44602,0.000626646
TXNDC17,-3.3106,0.00101196
LOC100128288,3.1499,0.00175085
SFN,-3.61657,0.000335101
ATG4C,2.66857,0.00791451
RBM33,4.10985,4.77E-05
C5orf42,-2.64081,0.00858143
SLC9B1,2.66673,0.00795728
MSANTD3,-3.873,0.000124781
AFF2,3.9027,0.000110889
FN1,-3.52508,0.000470265
FNTA,3.70334,0.000241393
C16orf74,-2.89419,0.00400098
ITPR3,-2.64946,0.00836846
JAK3,4.99408,8.71E-07
MORN1,-3.08636,0.00216135
ACP2,-3.04692,0.00245895
NASP,3.2464,0.00126309
NAP1L2,2.92585,0.00362292
NAP1L1,2.80927,0.00519893
NT5E,-4.24608,2.68E-05
PAPD4,3.38556,0.000777673
DMRTA1,-2.70718,0.00706464
RTN4,-3.24761,0.00125786
TMEM159,-3.55639,0.000419118
SCYL3,3.48973,0.000535026
PDE4C,2.88578,0.00410725
PDE3B,5.44204,9.00E-08
PDE4A,3.41576,0.000698443
ADH1B,2.99477,0.00291021
DNTTIP1,-4.29479,2.18E-05
MIEF2,-4.11518,4.66E-05
HNRNPA3,4.13444,4.30E-05
TERF2,3.57949,0.000384765
TNC,-3.82211,0.000152483
COX7A2L,3.57702,0.000388308
TERT,2.75211,0.00617957
PERP,-3.50222,0.000511244
SASH3,3.52818,0.000464962
PAWR,-4.03649,6.46E-05
ANLN,-4.56176,6.68E-06
ZNF512,3.00739,0.00279454
PROCR,-4.78575,2.37E-06
ANP32B,2.84672,0.00463533
TM9SF1,-4.4128,1.30E-05
VSIG10,-3.36862,0.000825687
PAF1,-3.17144,0.00162895
DPM1,-3.73518,0.000213673
SAP30,2.7796,0.00568891
HECTD4,4.38327,1.48E-05
CMAHP,3.48179,0.000550677
LRRC70,2.59189,0.00988019
PPP1R9B,3.08523,0.00216938
C1QTNF9,3.14453,0.00178254
SFXN3,-3.30588,0.00102868
MAB21L2,3.60636,0.000348135
POPDC2,5.08877,5.46E-07
GTPBP1,3.13346,0.00184959
BUB3,2.8883,0.00407509
SETDB1,3.66579,0.000278425
FAM114A1,-4.28162,2.30E-05
ADAM22,5.06551,6.13E-07
TAPT1,2.58625,0.0100407
PJA2,2.98854,0.0029689
TRIM66,2.62479,0.00898875
HHLA3,-3.05914,0.00236297
DMC1,2.74126,0.00638357
OR2B3,2.7975,0.00538859
CTSV,-3.31948,0.000981107
CTSL,-4.84668,1.77E-06
INSM2,2.65207,0.00830509
TSPAN18,2.83439,0.0048145
ALDH1L2,3.21823,0.00139056
PTPN1,-3.87689,0.000122871
PRPF4B,3.79929,0.000166707
INTS10,4.58558,5.99E-06
TUBGCP5,2.97023,0.00314778
KLHL32,2.73919,0.00642327
FMNL2,-2.64196,0.00855285
ELFN2,-4.13739,4.25E-05
RNF181,-3.19564,0.00150132
DEF6,3.67559,0.000268273
SUN3,-4.30619,2.07E-05
PRELID2,-3.07442,0.00224775
SH3RF2,-4.29342,2.19E-05
GDAP1L1,3.94796,9.25E-05
HCG4B,2.67175,0.00784122
RIT2,4.21557,3.06E-05
IL23R,2.62984,0.00885843
RLN2,-3.30047,0.0010482
MCOLN3,-3.67385,0.00027005
RANBP9,3.87298,0.000124791
DNAJB6,-3.07666,0.00223129
SCAF4,3.41585,0.000698212
TOM1L1,-3.1471,0.00176732
RIN1,-3.15854,0.00170096
DBIL5P2,2.97249,0.00312519
ZNF445,4.0617,5.82E-05
SPATS2L,-3.86756,0.000127499
SLC9B2,5.31363,1.75E-07
BCL11B,2.95805,0.00327213
DYNLL2,-2.79817,0.00537757
ZNF510,3.75638,0.000196914
FNDC3A,2.68296,0.00758758
CNKSR2,3.18675,0.00154705
GFI1,3.85385,0.000134594
GGCX,-5.50167,6.58E-08
TMEM268,3.10194,0.00205325
LRRC8E,-5.02498,7.48E-07
CXCL2,-2.86784,0.00434256
GRSF1,3.66845,0.00027564
PLCB3,-4.0862,5.26E-05
PLCB4,-3.02777,0.00261656
PLEC,-5.2127,2.93E-07
PLD2,-3.5591,0.000414935
PUS3,3.94499,9.36E-05
HNRNPA1,4.73462,3.01E-06
BMPR2,-3.50147,0.000512661
YPEL1,3.65444,0.000290634
PIK3R5,3.30421,0.00103468
NNT,4.96315,1.01E-06
ERCC8,2.74419,0.00632795
OR52A1,2.96272,0.00322393
AKTIP,-2.88239,0.0041508
RFXAP,3.39741,0.000745614
RGS18,3.38406,0.000781805
METTL7A,4.17349,3.65E-05
ABTB2,-2.87928,0.00419118
ASF1A,3.73625,0.000212792
EPAS1,-3.33203,0.000939028
TRAC,3.0455,0.00247032
RGS1,2.89005,0.0040529
PIAS1,2.91048,0.00380218
CDC14B,-2.8255,0.00494753
GPR82,2.70019,0.00721204
WHSC1,3.63464,0.00031314
KRI1,3.18935,0.00153354
ZGRF1,3.79371,0.000170374
SOS1,2.79938,0.00535791
DNAJC19,2.72874,0.00662658
PPP1R15B,3.95978,8.82E-05
MYEOV,-2.79273,0.00546712
YIF1A,-2.85127,0.00457078
LNP1,2.71581,0.0068862
RIC3,3.21042,0.00142798
FLNA,-4.44103,1.15E-05
FLNB,-4.97361,9.62E-07
FLI1,4.43354,1.19E-05
DOK3,3.49509,0.000524707
LINC00307,3.70897,0.000236257
KCNJ15,-2.85236,0.00455549
MYO10,-3.86545,0.000128568
PPP1R12A,4.3825,1.49E-05
SNAP91,2.90648,0.0038501
PLD4,3.49062,0.000533306
C14orf79,-3.99024,7.80E-05
TFPI,-2.71717,0.00685857
KIAA1191,-4.29194,2.20E-05
ADAR,2.67165,0.00784368
ZFAND1,2.7813,0.00565968
CARNMT1,3.53004,0.000461791
RAB34,-4.14033,4.20E-05
TUBB4B,-4.57768,6.21E-06
SCML2,2.92681,0.00361191
TSTA3,-3.10042,0.00206355
JMY,2.70936,0.00701916
PHLDA2,-3.97149,8.41E-05
C16orf54,3.24859,0.00125365
CASP10,3.31101,0.00101051
STX3,-3.16121,0.00168583
FAM64A,-2.85435,0.00452753
WISP2,-2.66254,0.0080553
LMF2,-3.96694,8.57E-05
CD84,2.95666,0.0032866
AAA1,2.98872,0.00296712
FAM76B,4.17612,3.61E-05
TPP2,3.77872,0.000180595
ZNF124,5.37754,1.26E-07
TMEM120A,-3.22517,0.00135809
HCG11,3.70222,0.000242425
UBE2J1,3.16913,0.00164161
SNX4,2.89509,0.00398964
FNBP1L,-3.8213,0.000152965
COL4A2,-3.11263,0.00198194
COL4A1,-3.18906,0.00153506
FSTL1,-5.2305,2.68E-07
NUDT4,3.78352,0.000177258
TRMT10A,3.44447,0.000630149
PPP1R37,-4.68073,3.87E-06
LOC100128361,3.71014,0.000235204
RPL30,2.85539,0.00451305
PARG,2.84102,0.00471739
MIEF1,4.25692,2.56E-05
PRPF38B,2.71258,0.00695256
PRNP,-2.95438,0.00331045
EVL,2.94722,0.00338643
MCM3AP-AS1,4.02163,6.86E-05
CLEC4A,2.5903,0.00992519
RFX5,3.37027,0.000820903
TFDP3,3.13326,0.00185079
MAPKAPK5-AS1,3.04973,0.00243652
COL6A6,3.60333,0.000352096
POLR1B,2.7967,0.00540161
TINAGL1,-4.82552,1.96E-06
C20orf144,-2.769,0.00587372
CHMP4B,-2.71981,0.00680492
PIGU,-3.37359,0.000811323
STC1,-3.07987,0.00220791
COPS7B,4.05801,5.91E-05
STK4,3.3671,0.000830139
NAP1L4,2.62139,0.00907739
SLC16A10,4.61524,5.23E-06
UBE2Q1,3.36427,0.000838482
WT1,3.15104,0.0017442
EI24,-2.76698,0.00590955
PNMA1,-3.12275,0.0019166
RAB22A,-3.75378,0.000198901
XBP1,2.58846,0.00997749
ITGB4,-2.71549,0.00689287
EIF6,-5.58928,4.13E-08
ITGB5,-4.9171,1.27E-06
ITGB6,-2.82445,0.00496343
ITGB7,4.84253,1.81E-06
PLEKHG3,-3.62709,0.000322148
LOC100506354,4.18193,3.53E-05
EPS8L2,-4.26922,2.43E-05
RRAS2,-3.95707,8.92E-05
IKZF3,3.14725,0.00176642
RAD17,3.17497,0.0016097
HCFC1R1,-3.91047,0.000107505
ZNF770,2.88905,0.00406562
NUDT14,-3.14118,0.00180261
ATP13A4,3.05437,0.00239997
CDCA3,-4.03733,6.43E-05
PRR7,-2.67956,0.00766373
PROSER1,4.03786,6.42E-05
SPG11,3.40818,0.000717589
FLVCR1,3.44274,0.000634082
AARSD1,3.88966,0.000116796
ABT1,2.59785,0.00971306
CARD10,-5.48051,7.35E-08
R3HDM1,4.52373,7.93E-06
SUZ12,3.72899,0.000218818
SKIV2L2,3.45589,0.000604751
STAT1,-2.93494,0.00352058
GTF2F2,-2.6586,0.00814858
LOC100131655,2.8865,0.00409797
MLLT10,2.94978,0.00335914
TAS2R39,3.04138,0.00250365
BOD1L1,2.95342,0.0033206
TAF4B,3.83688,0.000143893
MID1,-3.71678,0.000229298
PCDH15,2.76121,0.00601316
RHOC,-4.78723,2.35E-06
NEK1,3.27291,0.00115309
CHD7,2.89124,0.00403797
RAC1,-3.5096,0.000497669
PMP22,-2.84045,0.00472567
KCND2,2.84793,0.00461806
KCNH2,3.57985,0.000384247
FBLN1,-3.14603,0.00177365
FAT1,-4.23967,2.76E-05
BEND3,3.48279,0.00054868
ZFP14,2.74887,0.00623987
CEP83,4.0254,6.76E-05
GALNT11,-2.72293,0.00674213
USP43,-3.607,0.000347306
CRISP1,3.4524,0.00061242
AP2A1,-3.09377,0.00210928
AP2B1,-3.48627,0.000541807
NEUROD2,3.23874,0.00129665
SPSB1,-3.32923,0.000948249
RPS6,3.20075,0.00147555
USF3,3.02068,0.00267728
MAGEE2,2.70735,0.00706098
UPRT,3.563,0.000409004
GLI3,-2.62912,0.00887708
LATS2,-3.57414,0.000392477
OSMR,-4.41046,1.31E-05
ZFP36L2,3.8237,0.000151537
HMG20A,3.57227,0.000395199
SNRNP40,3.21593,0.0014015
PSORS1C3,-3.40904,0.000715372
TRIP6,-4.49675,8.96E-06
RPS19,2.76882,0.00587686
BRCA2,2.63463,0.00873655
RPS23,4.90563,1.34E-06
RPS24,3.07723,0.00222717
SEMA4B,-3.55273,0.000424814
INTS2,3.67387,0.000270026
SUSD6,2.63554,0.0087135
SEMA6B,-3.22189,0.00137336
KIAA0101,2.61826,0.00915975
SEMA4D,3.5599,0.000413719
SMAP2,4.34634,1.74E-05
ASAP2,-3.81247,0.000158344
CALD1,-3.78603,0.000175541
PIK3R6,3.62833,0.000320654
DDHD1,2.74646,0.00628502
DNASE1L1,-2.96868,0.0031633
TMEM99,-3.78562,0.000175822
DYNC1H1,-3.90073,0.000111762
RETSAT,-2.96483,0.0032023
TAAR2,3.24357,0.00127542
USP15,3.62687,0.000322409
BCOR,4.40778,1.33E-05
GIMAP7,2.88397,0.00413041
CTDSPL2,2.97824,0.00306827
HADHA,3.61504,0.000337028
B4GALT4,-2.66951,0.00789287
AGPAT5,5.52084,5.94E-08
MAPK9,-3.79845,0.000167257
CECR1,5.61408,3.61E-08
FIGN,-3.6295,0.000319239
SRBD1,3.69002,0.00025396
LARP1B,3.31147,0.00100888
ISG15,-2.97946,0.00305642
FEZ2,-4.23261,2.84E-05
MTCL1,-3.58301,0.000379762
SRSF1,2.93126,0.00356161
SRSF3,4.16348,3.81E-05
SMIM21,3.03316,0.00257128
MBNL3,3.96586,8.61E-05
KCNH8,4.3056,2.08E-05
ST13,2.94175,0.00344565
ST5,-3.24216,0.00128158
NUP153,2.73348,0.00653365
BRINP2,3.61189,0.000341023
ALDOB,3.06415,0.00232461
ABCD2,4.05924,5.88E-05
ALDH1A3,-4.01742,6.98E-05
KIAA2026,3.21057,0.00142724
CEP350,4.37028,1.57E-05
GIGYF2,4.17594,3.62E-05
PPP1R16B,3.19091,0.00152552
RAB11FIP5,-2.69377,0.00734998
ANKRD17,3.9768,8.23E-05
PPP1R14C,-3.31866,0.000983918
SPATA17,-3.1061,0.00202523
GPR63,4.91635,1.27E-06
SCAF8,3.7944,0.000169914
PHLDA1,-3.5598,0.000413863
PAXBP1,3.77075,0.000186266
ARPP19,2.63705,0.00867552
ZNF271P,2.94029,0.00346159
GDF15,-2.89359,0.00400848
CUEDC1,-4.89935,1.38E-06
ADPGK,3.68091,0.000262911
SH3BGRL3,-3.05718,0.00237809
PMFBP1,2.89828,0.0039502
AP5B1,2.85812,0.00447518
HOXA5,-3.26238,0.0011957
TSHZ1,4.69848,3.57E-06
RNF41,2.71742,0.00685346
HOXA3,-3.77851,0.000180746
MPHOSPH9,2.88982,0.00405583
ZNF100,3.34905,0.00088463
TUBA4B,-2.84338,0.00468322
PRKX,4.38463,1.47E-05
CHRM2,3.50238,0.000510961
CHN2,2.86556,0.00437334
KRTAP9-3,4.3191,1.96E-05
KRTAP17-1,2.99904,0.00287053
CLYBL,3.30344,0.00103746
SYDE1,-4.38665,1.46E-05
RASSF7,-4.26851,2.44E-05
FAM127B,-2.75248,0.00617284
NOA1,2.97867,0.00306415
SETD1B,3.48816,0.000538091
ZNF609,4.15576,3.94E-05
RAPH1,-2.80822,0.0052157
DDX27,-3.55961,0.000414156
LOC728743,3.81967,0.000153949
DOT1L,4.09073,5.16E-05
CPNE2,-2.99367,0.00292046
CXCL16,-3.11359,0.00197564
PPWD1,2.8652,0.00437829
NFATC3,5.24044,2.55E-07
NF2,-3.99962,7.51E-05
ANKRD2,-3.16245,0.00167885
IL1RAPL2,2.71598,0.0068827
PLD6,4.92077,1.24E-06
TMEM127,-2.96732,0.0031771
TNFRSF12A,-6.37256,4.93E-10
HN1L,-3.70123,0.000243342
GJB5,-3.54671,0.000434351
MYCN,3.24456,0.00127108
SCAMP5,3.52605,0.000468608
CALCOCO1,2.82192,0.00500193
SNX6,-2.80955,0.00519452
JAM2,3.25691,0.00121839
ADRA1B,-3.35749,0.00085875
PARP1,3.23122,0.00133039
PTTG1IP,-4.10762,4.81E-05
NPY2R,3.09735,0.00208456
TATDN3,5.94701,5.78E-09
ASRGL1,3.05256,0.00241421
POU2AF1,3.51047,0.000496086
POU2F1,2.77115,0.00583586
MED13,3.99203,7.74E-05
GK,4.0575,5.92E-05
CCT6B,3.06311,0.00233247
RRH,3.46913,0.000576529
MYOM2,2.90965,0.003812
CLIP1,-3.20927,0.00143355
RTKN,-3.01593,0.0027186
IPO8,3.40414,0.000727981
CHERP,3.52377,0.000472532
DEAF1,3.3623,0.000844309
DDX17,3.22371,0.00136489
FOXJ3,2.91248,0.00377835
IER3,-5.06682,6.09E-07
ARHGEF7,2.91662,0.00372957
SGPL1,-3.3669,0.000830712
SQSTM1,-2.6855,0.00753116
WDR36,3.44047,0.000639263
KIAA0895L,2.77864,0.00570539
CAPNS1,-2.96747,0.00317556
CAPN1,-3.29753,0.00105896
SMARCE1,4.33057,1.86E-05
COIL,2.90274,0.00389544
COX19,3.51598,0.000486204
SLC10A7,5.10314,5.09E-07
PHEX,-2.75398,0.0061451
RCAN3,-3.21689,0.00139693
SAT2,-3.18413,0.0015608
TNFAIP8L2,2.69476,0.00732854
PPM1L,3.00445,0.00282105
GAS2L3,-3.0643,0.00232347
OSBPL10,-4.84495,1.79E-06
TRAT1,3.74251,0.000207731
SMCP,2.91298,0.00377239
SEC24B-AS1,2.92927,0.00358403
KLC3,-4.71277,3.34E-06
ASPG,-2.78879,0.0055328
EFCAB11,-4.6081,5.41E-06
TRAF3IP2-AS1,3.9939,7.68E-05
VPS13A,2.9256,0.00362577
SELL,3.15611,0.00171487
AAMP,-3.18329,0.00156524
SELPLG,5.93944,6.03E-09
ACAD8,3.01211,0.00275231
ZNF217,2.608,0.00943432
ZNF214,-2.60813,0.0094307
LAIR1,4.10342,4.90E-05
SSR1,3.0414,0.00250349
TSR3,-2.67119,0.00785413
GUF1,2.82109,0.00501464
HS3ST4,2.60314,0.00956687
AIM1,-2.59132,0.00989637
AK4,-2.90235,0.00390018
TAGAP,2.66884,0.00790834
CAST,-3.73024,0.000217769
LOC100507516,-3.06268,0.00233581
CAMSAP2,-2.65814,0.0081594
PRPF40B,-4.11207,4.72E-05
ZNF852,3.17631,0.00160248
HNRNPH1,2.97296,0.00312043
IGF1,3.30571,0.0010293
IREB2,4.56109,6.70E-06
ITGA6,-4.2512,2.63E-05
IPW,2.67462,0.00777562
PPP4R3B,3.6775,0.000266336
PAM,-2.62277,0.00904137
N4BP2L1,4.32688,1.90E-05
HCFC1,2.80012,0.00534577
OR10A4,3.09177,0.00212326
GIPC1,-4.13036,4.38E-05
TGFB1I1,-3.39289,0.000757705
GVINP1,3.32732,0.000954622
PLAC4,3.53242,0.000457784
HOXA2,-4.23182,2.85E-05
VPS13B,2.75708,0.00608818
PRRG2,-2.74868,0.00624354
DDR1,-5.02659,7.43E-07
CACNB1,-2.78715,0.0055603
HOXA1,-3.11966,0.00193633
SNAI2,-3.50261,0.000510522
TLK1,2.98568,0.00299618
SLC25A20,4.32029,1.95E-05
CD38,4.26995,2.42E-05
URB1,3.47128,0.000572057
ARNT,3.30561,0.00102966
NOP14,2.69324,0.00736158
ARL2,-2.67998,0.00765428
PHOX2A,2.79531,0.00542455
FCHO2,-3.28949,0.00108891
WRN,3.2938,0.00107275
FAM193A,3.83767,0.000143449
ANKS4B,2.90476,0.00387095
INTS6,2.7272,0.0066571
MDM1,3.81905,0.000154319
FAM117A,3.56469,0.000406459
NFX1,3.47529,0.00056381
PYGL,-3.74018,0.000209602
PYGB,-3.371,0.000818783
PACSIN2,-2.7842,0.00561023
MAN1B1,-2.68546,0.007532
CERK,3.77738,0.000181537
RBM15,3.54633,0.00043496
TBC1D15,3.57845,0.000386255
RBP7,-2.87001,0.00431353
ST8SIA2,2.98959,0.00295886
LRRC34,2.70729,0.00706227
PTGES2,-3.25135,0.00124183
LEF1,2.6939,0.00734716
FOXP2,2.90599,0.00385603
NLK,3.04856,0.00244587
TADA1,4.27479,2.37E-05
CATSPER1,-2.76934,0.00586769
GZMA,3.28562,0.00110357
IKZF1,5.07731,5.78E-07
NRF1,3.3946,0.000753108
GGN,-2.7358,0.00648867
SLC4A8,4.03908,6.39E-05
FZD3,3.3673,0.000829548
HGS,-2.91214,0.00378242
ZNF646,2.97679,0.00308255
GLCCI1,5.07558,5.83E-07
AP3M1,3.37491,0.000807542
TOP2B,3.66555,0.000278677
ETNK2,-4.27894,2.33E-05
LOC100130950,2.66652,0.0079622
DNAJC9-AS1,2.64204,0.0085509
CD300LG,3.63927,0.000307734
CCDC25,4.5536,6.93E-06
DLG1,-2.6516,0.00831637
MTMR9,3.8161,0.00015611
LINC00487,3.21155,0.00142253
FASTKD1,4.66475,4.17E-06
TMEM206,3.21747,0.00139419
MICALL2,-2.63684,0.00868085
CCDC8,-2.65254,0.00829364
LRRTM1,2.88378,0.0041328
LGMN,-3.0991,0.00207254
SETD2,2.67089,0.00786105
NDUFAF4,3.78058,0.000179298
NPAP1,4.00401,7.37E-05
ZC3H4,3.85445,0.000134275
ZNF792,3.70979,0.000235514
WTIP,-3.22935,0.0013389
ATP2A3,4.08913,5.20E-05
FOSL1,-4.89118,1.43E-06
ATP1B1,-3.90406,0.000110288
SHB,-4.10195,4.93E-05
ZNF189,2.74195,0.00637039
TAS2R16,3.10041,0.0020636
TAS2R4,2.99171,0.0029389
TAS2R7,2.65705,0.00818549
ZNF195,2.66128,0.00808498
LASP1,-2.88147,0.00416263
SRP14,3.11377,0.00197452
BCDIN3D,2.61343,0.00928807
FBXO45,2.90679,0.00384633
CTNNAL1,-3.96476,8.64E-05
RBM8A,3.58024,0.000383699
HELZ,4.6847,3.80E-06
MAML3,2.9321,0.00355224
FAM229B,-2.64686,0.00843198
ANKRD26P3,3.0405,0.0025108
EAF2,2.84659,0.00463717
ZNF3,2.74968,0.00622473
DPH5,3.00886,0.00278131
RAD21L1,-2.98828,0.00297131
ITGA5,-2.68753,0.00748624
CNKSR3,-2.71575,0.00688737
USP5,-2.65402,0.00825809
ITGA2,-3.57089,0.000397237
ITGA4,4.00973,7.20E-05
ITGA3,-5.78661,1.41E-08
CSNK1G2,3.89687,0.000113493
ABHD12,-4.16927,3.72E-05
KIRREL,-4.76141,2.66E-06
HPS4,2.71066,0.00699221
LOC100507391,2.94159,0.00344734
CCNT2,4.12283,4.52E-05
TGIF2,3.46291,0.000589642
PDP2,4.12644,4.45E-05
ZDHHC24,-2.73295,0.00654402
CHD1L,2.95825,0.00327003
TOR3A,3.57347,0.000393446
TAAR9,2.83273,0.00483905
TTLL10,2.93902,0.00347542
FHIT,2.91026,0.00380474
ZNF397,4.09972,4.97E-05
MFSD8,3.20376,0.00146062
MBD4,3.6789,0.000264924
MBD2,2.68372,0.00757059
C1orf116,-2.80086,0.00533382
RUSC2,-3.42969,0.000664476
LOC100506844,2.6034,0.00955956
THSD4,-3.60734,0.000346869
ZNF184,3.53472,0.000453929
ANKRD52,-2.89474,0.00399407
RBM34,3.09541,0.00209792
CST6,-3.7381,0.000211284
PALLD,-3.40835,0.000717144
AMOTL1,-3.59045,0.000369415
ABCB7,2.66852,0.00791578
PPTC7,3.789,0.000173526
GGA1,3.5145,0.000488842
LEMD2,-3.42877,0.000666669
ZNF227,2.88603,0.00410402
SYNRG,4.89714,1.39E-06
ATXN2L,3.08612,0.00216311
SLC43A1,4.7038,3.48E-06
MRPS17,-3.04936,0.00243944
SNX7,-4.35736,1.66E-05
CRLF3,3.44173,0.000636388
PRKD3,2.60526,0.00950867
CAMKMT,2.94369,0.00342454
S100PBP,2.9236,0.00364868
LAMC1,-3.47235,0.000569849
PARP12,-2.64665,0.00843722
PLCE1,-4.69482,3.63E-06
ZNF639,2.76572,0.00593199
WBSCR27,-2.99607,0.00289806
FGD3,2.77834,0.00571055
FKBP5,5.10711,4.99E-07
FKBP2,-3.43805,0.000644853
RANGAP1,-3.73519,0.000213661
LAMC2,-3.70947,0.0002358
BRAP,3.88,0.000121365
SRPK1,3.6213,0.000329212
ATP9B,2.62776,0.00891195
PM20D2,3.5284,0.000464588
BLCAP,-2.81638,0.00508743
MTMR11,-2.58863,0.00997255
CELF2,4.44762,1.12E-05
KHDRBS3,2.82001,0.00503125
SNAPC5,2.69483,0.00732702
YKT6,-3.11603,0.00195973
ALDH5A1,3.62121,0.000329323
TFPI2,-3.87678,0.000122923
S100A13,-4.9577,1.04E-06
S100A10,-5.69428,2.34E-08
S100A11,-4.82125,2.00E-06
JAG1,-3.788,0.000174197
KRT80,-5.17011,3.64E-07
C12orf57,4.22588,2.93E-05
KIAA1257,2.90438,0.00387553
ADGRF1,-2.72824,0.00663643
CBFA2T3,3.81477,0.000156931
ENO3,2.72987,0.00660432
ZNRF4,-2.8555,0.00451151
GAPT,2.8857,0.0041082
PIAS3,-3.02848,0.00261061
ST3GAL6,2.65581,0.00821511
ZBTB34,3.49887,0.00051754
FRMD6,-2.98567,0.00299629
AARS2,2.59969,0.00966208
PHF21A,3.58667,0.000374641
B3GALNT1,-3.76312,0.00019185
NEK9,4.38479,1.47E-05
PDE7A,3.65638,0.00028851
ZNF804A,3.54345,0.000439581
CHST12,3.51278,0.000491925
FAM83D,-3.53901,0.000446826
SLC31A1,-3.03918,0.00252156
COPB1,-3.09741,0.00208417
COMT,-2.78435,0.00560767
MAFF,-3.91436,0.000105847
B9D1,-2.98884,0.00296599
LYPD3,-3.13071,0.00186655
AK9,3.06941,0.00228494
NSDHL,-3.91196,0.000106868
COPS7A,-3.82172,0.000152713
LDHC,-3.16706,0.00165308
CCDC186,-2.62267,0.00904407
LOC283038,3.64148,0.000305182
RABGAP1L,2.64276,0.00853298
SUPT7L,4.35796,1.66E-05
